ID,duration,wav,spk_id,wrd,lang
1049743_1,5.0,train/10/1049743_1.wav,1049743_1_ru,ЗА СПИНОЙ СП,ru
1049745_0,10.0,train/10/1049745_0.wav,1049745_0_ru,ТЫ ЧТО СКРЫВАЕШЬ В СВОИХ САДАХ,ru
1049745_3,4.0,train/10/1049745_3.wav,1049745_3_ru,ЗЕЛЁНЫЙ СТРАХ ГЛАЗА С ПОД ЗЕМЛИ,ru
1049745_4,4.0,train/10/1049745_4.wav,1049745_4_ru,СЛЕЗАМИ РАСТЁТ ЗЕМНОЙ ЦВЕТ,ru
1049745_5,5.0,train/10/1049745_5.wav,1049745_5_ru,СЛЕЗАМИ РАСТЁТ ЗЕМНОЙ ЦВЕТ,ru
1049745_6,4.0,train/10/1049745_6.wav,1049745_6_ru,СЛЕЗАМИ РАСТЁТ ЗЕМНОЙ ЦВЕТ,ru
1049745_7,4.0,train/10/1049745_7.wav,1049745_7_ru,СЛЕЗАМИ РАСТЁТ ЗЕМНОЙ ЦВЕТ,ru
1049745_8,8.0,train/10/1049745_8.wav,1049745_8_ru,ЭТО ВЕСНА ВЕСНА,ru
1049745_9,9.0,train/10/1049745_9.wav,1049745_9_ru,ЭТО ВЕСНА ВЕСНА,ru
1049745_10,4.0,train/10/1049745_10.wav,1049745_10_ru,ТЫ ЧТО СКРЫВАЕШЬ В СВОЁМ СЕРДЦЕ,ru
1049745_11,4.0,train/10/1049745_11.wav,1049745_11_ru,ЗНАК УХОДЯЩИХ СТРАТЕГИЙ ПРОТИВ,ru
1049745_12,4.0,train/10/1049745_12.wav,1049745_12_ru,ВЕТРА ШУМЯТ В ШТОРМЕ ВЕСНЯНЕМ,ru
1049745_13,4.0,train/10/1049745_13.wav,1049745_13_ru,ТВОИ СИЛЫ СТОРОНЫ ЖИЗНЬ ДО СМЕРТИ,ru
1049745_14,4.0,train/10/1049745_14.wav,1049745_14_ru,ЖИЗНЬ ДО СМЕРТИ,ru
1049745_15,10.0,train/10/1049745_15.wav,1049745_15_ru,ЭТО ВЕСНА ВЕСНА,ru
1049745_16,9.0,train/10/1049745_16.wav,1049745_16_ru,ЭТО ВЕСНА ВЕСНА,ru
1067289_0,5.0,train/10/1067289_0.wav,1067289_0_ru,ВСЕГДА,ru
1067289_2,3.0,train/10/1067289_2.wav,1067289_2_ru,IT WAS JUST WHAT I WANTED,ru
1067289_3,4.0,train/10/1067289_3.wav,1067289_3_ru,OH DEAR ALL WAS SO CLEAR,ru
1067289_4,4.0,train/10/1067289_4.wav,1067289_4_ru,I KNEW EACH STEP AND HAD NO FEAR,ru
1067289_5,3.0,train/10/1067289_5.wav,1067289_5_ru,BUT WAS I REAL,ru
1067289_6,4.0,train/10/1067289_6.wav,1067289_6_ru,WHAT'S NOW I FELL FROM CLOSE,ru
1067289_7,4.0,train/10/1067289_7.wav,1067289_7_ru,AND HAVE MY FEET BACK ON THE GROUND,ru
1067289_8,3.0,train/10/1067289_8.wav,1067289_8_ru,BUT MY WAY IS NEW NOW,ru
1067289_9,4.0,train/10/1067289_9.wav,1067289_9_ru,YOU BROKE MY PUZZLE OF A HURRY,ru
1067289_10,3.0,train/10/1067289_10.wav,1067289_10_ru,WHICH I WAS BUSY ASSEMBLING,ru
1067289_11,3.0,train/10/1067289_11.wav,1067289_11_ru,AND I WENT BACK TO THE START,ru
1067289_12,3.0,train/10/1067289_12.wav,1067289_12_ru,OH IT WAS JUST MY REFLECTION,ru
