ID,duration,wav,spk_id,wrd,lang
HILA_-_Give_Me_the_Same_0,1.253035266800001,jamendolyrics/HILA_-_Give_Me_the_Same_0.wav,HILA_-_Give_Me_the_Same_0_english,LAY AWAKE AT NIGHT,en
HILA_-_Give_Me_the_Same_1,1.283993780400003,jamendolyrics/HILA_-_Give_Me_the_Same_1.wav,HILA_-_Give_Me_the_Same_1_english,WONDERING HOW COULD I,en
HILA_-_Give_Me_the_Same_2,1.4011386659999978,jamendolyrics/HILA_-_Give_Me_the_Same_2.wav,HILA_-_Give_Me_the_Same_2_english,LET IT GET THIS WAY,en
HILA_-_Give_Me_the_Same_3,1.199015130200003,jamendolyrics/HILA_-_Give_Me_the_Same_3.wav,HILA_-_Give_Me_the_Same_3_english,THROUGH ALL THE PAIN,en
HILA_-_Give_Me_the_Same_4,1.3984745117999964,jamendolyrics/HILA_-_Give_Me_the_Same_4.wav,HILA_-_Give_Me_the_Same_4_english,I TOOK ALL THE BLAME,en
HILA_-_Give_Me_the_Same_5,1.484793556399996,jamendolyrics/HILA_-_Give_Me_the_Same_5.wav,HILA_-_Give_Me_the_Same_5_english,WHILE YOU CURSED MY LAST NAME,en
HILA_-_Give_Me_the_Same_6,1.672940716200003,jamendolyrics/HILA_-_Give_Me_the_Same_6.wav,HILA_-_Give_Me_the_Same_6_english,I THOUGHT WE COULD GET BETTER,en
HILA_-_Give_Me_the_Same_7,1.644801600000001,jamendolyrics/HILA_-_Give_Me_the_Same_7.wav,HILA_-_Give_Me_the_Same_7_english,STAYED COMMITTED LIKE A SOLDIER,en
HILA_-_Give_Me_the_Same_8,1.3438006988000026,jamendolyrics/HILA_-_Give_Me_the_Same_8.wav,HILA_-_Give_Me_the_Same_8_english,BELIEVED WE'RE OKAY,en
HILA_-_Give_Me_the_Same_9,8.1484488296,jamendolyrics/HILA_-_Give_Me_the_Same_9.wav,HILA_-_Give_Me_the_Same_9_english,NOW I KNOW THAT YOU DON'T CARE AT ALL,en
HILA_-_Give_Me_the_Same_10,1.2690060932999998,jamendolyrics/HILA_-_Give_Me_the_Same_10.wav,HILA_-_Give_Me_the_Same_10_english,TIME WASTED,en
HILA_-_Give_Me_the_Same_11,5.7388876459,jamendolyrics/HILA_-_Give_Me_the_Same_11.wav,HILA_-_Give_Me_the_Same_11_english,GAVE ALL OF MY SOUL AND MY HEART TO SOMEONE THAT WOULD NEVER,en
HILA_-_Give_Me_the_Same_12,1.031003596000005,jamendolyrics/HILA_-_Give_Me_the_Same_12.wav,HILA_-_Give_Me_the_Same_12_english,GIVE ME THE SAME,en
HILA_-_Give_Me_the_Same_13,7.081235333100004,jamendolyrics/HILA_-_Give_Me_the_Same_13.wav,HILA_-_Give_Me_the_Same_13_english,I WAS A FOOL TO BELIEVE THAT YOU WOULD FINALLY BE THE ONE TO,en
HILA_-_Give_Me_the_Same_14,1.170083065399993,jamendolyrics/HILA_-_Give_Me_the_Same_14.wav,HILA_-_Give_Me_the_Same_14_english,GIVE ME THE SAME,en
HILA_-_Give_Me_the_Same_15,3.3333444020000087,jamendolyrics/HILA_-_Give_Me_the_Same_15.wav,HILA_-_Give_Me_the_Same_15_english,HEARTBROKEN NOW,en
HILA_-_Give_Me_the_Same_16,3.2430342661999845,jamendolyrics/HILA_-_Give_Me_the_Same_16.wav,HILA_-_Give_Me_the_Same_16_english,HOW YOU LET ME DOWN,en
